date,close
2015-02-04 00:00:00+05:30,8723.7
2015-02-05 00:00:00+05:30,8711.7
2015-02-06 00:00:00+05:30,8661.05
2015-02-09 00:00:00+05:30,8526.35
2015-02-10 00:00:00+05:30,8565.55
2015-02-11 00:00:00+05:30,8627.4
2015-02-12 00:00:00+05:30,8711.55
2015-02-13 00:00:00+05:30,8805.5
2015-02-16 00:00:00+05:30,8809.35
2015-02-18 00:00:00+05:30,8869.1
2015-02-19 00:00:00+05:30,8895.3
2015-02-20 00:00:00+05:30,8833.6
2015-02-23 00:00:00+05:30,8754.95
2015-02-24 00:00:00+05:30,8762.1
2015-02-25 00:00:00+05:30,8767.25
2015-02-26 00:00:00+05:30,8683.85
2015-02-27 00:00:00+05:30,8844.6
2015-02-28 00:00:00+05:30,8901.85
2015-03-02 00:00:00+05:30,8956.75
2015-03-03 00:00:00+05:30,8996.25
2015-03-04 00:00:00+05:30,8922.65
2015-03-05 00:00:00+05:30,8937.75
2015-03-09 00:00:00+05:30,8756.75
2015-03-10 00:00:00+05:30,8712.05
2015-03-11 00:00:00+05:30,8699.95
2015-03-12 00:00:00+05:30,8776
2015-03-13 00:00:00+05:30,8647.75
2015-03-16 00:00:00+05:30,8633.15
2015-03-17 00:00:00+05:30,8723.3
2015-03-18 00:00:00+05:30,8685.9
2015-03-19 00:00:00+05:30,8634.65
2015-03-20 00:00:00+05:30,8570.9
2015-03-23 00:00:00+05:30,8550.9
2015-03-24 00:00:00+05:30,8542.95
2015-03-25 00:00:00+05:30,8530.8
2015-03-26 00:00:00+05:30,8342.15
2015-03-27 00:00:00+05:30,8341.4
2015-03-30 00:00:00+05:30,8492.3
2015-03-31 00:00:00+05:30,8491
2015-04-01 00:00:00+05:30,8586.25
2015-04-06 00:00:00+05:30,8659.9
2015-04-07 00:00:00+05:30,8660.3
2015-04-08 00:00:00+05:30,8714.4
2015-04-09 00:00:00+05:30,8778.3
2015-04-10 00:00:00+05:30,8780.35
2015-04-13 00:00:00+05:30,8834
2015-04-15 00:00:00+05:30,8750.2
2015-04-16 00:00:00+05:30,8706.7
2015-04-17 00:00:00+05:30,8606
2015-04-20 00:00:00+05:30,8448.1
